Ville;pays;adresse_full;participants_syndicats;source_syndicats;participants_police;participants_presse;source_presse;participants_occurrence;description_libre;lien
Annonay;France;Annonay France;4000;CGT;;;;;;https://www.francebleu.fr/infos/economie-social/manifestation-du-premier-mai-philippe-martinez-defile-a-aubenas-6881215
Montluçon;France;Montluçon France;;;;3000;La Montagne;;;https://www.lamontagne.fr/montlucon-03100/actualites/face-au-silence-de-macron-nous-defilons-pour-nous-faire-entendre-pres-de-3-000-manifestants-a-montlucon_14302641/
Bourges;France;Bourges France;9000;intersyndicale;2600;;;;;https://www.leberry.fr/bourges-18000/actualites/l-intersyndicale-veut-frapper-un-grand-coup-avec-les-manifestations-du-1er-mai-dans-le-cher-suivez-le-direct_14302586/
Bourgoin-Jallieu;France;Bourgoin-Jallieu France;4000;intersyndicale;2000;;;;;https://www.francebleu.fr/infos/societe/retraites-manifestations-transports-a-quoi-faut-il-s-attendre-en-isere-pour-la-journee-du-1er-mai-9570479
Auch;France;Auch France;;;;;;;;
Castres;France;Castres France;;;;;;;;
Belfort;France;Belfort France;5000;intersyndicale;3000;2000;L'Est Républicain;;;https://www.estrepublicain.fr/social/2023/05/01/reforme-des-retraites-suivez-les-mobilisations-du-1er-mai-partout-en-franche-comte
Vannes;France;Vannes France;;;;8000;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php
Narbonne;France;Narbonne France;;;;2500;L'Indépendant;;;https://www.lindependant.fr/2023/05/01/la-manifestation-du-1er-mai-a-narbonne-en-images-11168821.php
Reims;France;Reims France;3000;intersyndicale;2400;;;;;https://www.lunion.fr/id480192/article/2023-05-01/reims-10-000-personnes-la-manif-du-1er-mai
Carcassonne;France;Carcassonne France;3500;intersyndicale;3300;;;;;https://www.lindependant.fr/2023/05/01/direct-manifestation-du-1er-mai-a-carcassonne-le-cortege-sest-elance-de-la-place-des-jacobins-11168498.php#:~:text=Suivez%20la%20manifestation%20carcassonnaise%20du,la%20journ%C3%A9e%20internationale%20des%20travailleurs.
Montélimar;France;Montélimar France;4000;CGT;;;;;;
Annecy;France;Annecy France;2500;;2000;;;;;
Agen;France;Agen France;4500;intersyndicale;4000;;;;;
Arles;France;Arles France;5000;CGT;1400;;;;;https://actu.fr/provence-alpes-cote-d-azur/marseille_13055/direct-1er-mai-manifestation-blocages-suivez-la-situation-a-marseille_59336696.html
Saintes;France;Saintes France;5000;intersyndicale;2850;3500;Sud-Ouest;;;https://www.sudouest.fr/economie/social/greve/manifestation-du-1er-mai-a-saintes-un-cortege-nourri-et-offensif-14989906.php
Mâcon;France;Mâcon France;4000;intersyndicale;2000;;;;;https://www.lejsl.com/social/2023/05/01/saone-et-loire-la-manifestation-du-1er-mai-se-met-en-place-a-chalon
Sète;France;Sète France;4500;intersyndicale;2200;;;;;https://www.midilibre.fr/2023/05/01/manifestation-du-1er-mai-le-defile-selancera-sur-sete-a-partir-de-10-h-30-suivez-notre-direct-11168385.php
Moulins;France;Moulins France;2000;intersyndicale;1600;;;;;
Mont-de-Marsan;France;Mont-de-Marsan France;;;;;;;;
Arras;France;Arras France;3000;intersyndicale;2200;;;;;https://www.lavoixdunord.fr/1322304/article/2023-05-01/manifestation-du-1er-mai-arras-le-cortege-s-est-elance-depuis-la-place-foch
Aubenas;France;Aubenas France;3500;CGT;2350;;;;;
Gap;France;Gap France;4000;intersyndicale;2680;;;;;
Vichy;France;Vichy France;3000;intersyndicale;1600;;;;;
Draguignan;France;Draguignan France;1700;intersyndicale;1200;;;;;
Lons-le-Saunier;France;Lons-le-Saunier France;2000;;2000;;;;;https://www.leprogres.fr/social/2023/05/01/a-saint-claude-dole-et-lons-les-manifestants-mobilises-pour-un-1er-mai-qu-ils-esperent-historique
Vienne;France;Vienne France;;;;;;;;
Dinan;France;Dinan France;;;2700;;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php
Troyes;France;Troyes France;;;;2000;L'Est éclair;;;
Guéret;France;Guéret France;5000;intersyndicale;4000;;;;;
Montbéliard;France;Montbéliard France;2400;;1900;;;;;https://www.francebleu.fr/infos/societe/1er-mai-les-manifestations-debutent-a-belfort-montbeliard-et-lure-2027311
Tulle;France;Tulle France;;;1700;;;;;
Albertville;France;Albertville France;2000;intersyndicale;1700;;;;;
Vierzon;France;Vierzon France;1400;inersyndicale;1400;;;;;https://www.leberry.fr/bourges-18000/actualites/l-intersyndicale-veut-frapper-un-grand-coup-avec-les-manifestations-du-1er-mai-dans-le-cher-suivez-le-direct_14302586/
Cholet;France;Cholet France;2700;intersyndicale;2600;;;;;
Aurillac;France;Aurillac France;3000;intersyndicale;2700;;;;;
Saint-Gaudens;France;Saint-Gaudens France;3067;intersyndicale;;;;;;
Vendôme;France;Vendôme France;1200;CGT;800;;;;;https://www.lanouvellerepublique.fr/vendome/manifestation-du-1er-mai-de-800-a-1-200-personnes-a-vendome#:~:text=Environ%20800%20personnes%20selon%20la,1er%20mai%202023%20%C3%A0%20Vend%C3%B4me.&text=Contre%20la%20r%C3%A9forme%20des%20retraites,traditionnelle%20F%C3%AAte%20du%201er%20mai.
Mende;France;Mende France;1500;intersyndicale;;;;;;
Carhaix;France;Carhaix France;2700;CGT;2400;2700;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php
Epernay;France;Epernay France;900;CGT;800;;;;;
Privas;France;Privas France;1500;CGT;;;;;;https://www.francebleu.fr/infos/economie-social/manifestation-du-premier-mai-philippe-martinez-defile-a-aubenas-6881215
Alençon;France;Alençon France;2900;;1800;2000;L'Orne Hebdo;;;https://actu.fr/normandie/alencon_61001/manifestations-du-1er-mai-a-alencon-suivez-la-journee-en-direct_59338622.html#:~:text=Ce%20qu'il%20faut%20retenir,du%201er%20mai%20%C3%A0%20Alen%C3%A7on&text=Les%20revendications%20portaient%20sur%20la,le%20partage%20%C3%A9quitable%20des%20richesses.
Saint-Lô;France;Saint-Lô France;;;1300;1500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-1er-mai-a-cherbourg-et-saint-lo-des-rassemblements-festifs-prevus-ce-matin-eb627fdc-e5c1-11ed-9310-58b428937a6b
Guingamp;France;Guingamp France;3000;intersyndicale;2700;;;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-les-manifs-du-1er-mai-a-lamballe-guingamp-saint-brieuc-lannion-paimpol-et-dinan-ba739252-e757-11ed-8c27-046e988bea0b
Coutances;France;Coutances France;;;;1700;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-1er-mai-a-cherbourg-et-saint-lo-des-rassemblements-festifs-prevus-ce-matin-eb627fdc-e5c1-11ed-9310-58b428937a6b
Abbeville;France;Abbeville France;;;;1000;Le journal d'Abbeville;;;
Châlons-en-Champagne;France;Châlons-en-Champagne France;;;;1200;L'Union;;;https://www.lunion.fr/id480196/article/2023-05-01/environ-1200-personnes-defilent-dans-les-rues-de-chalons-en-champagne
Fontenay-le-Comte;France;Fontenay-le-Comte France;1100;;1100;;;;;
Argentan;France;Argentan France;;;;;;;;
Saint-Jean-de-Maurienne;France;Saint-Jean-de-Maurienne France;;;;;;;;
Bar-le-Duc;France;Bar-le-Duc France;;;;;;;;
Beaune;France;Beaune France;600;CGT;;;;;;
Chalon-sur-Saône;France;Chalon-sur-Saône France;5000;;3100;;;;;https://www.lejsl.com/social/2023/05/01/saone-et-loire-la-manifestation-du-1er-mai-se-met-en-place-a-chalon
Cherbourg;France;Cherbourg France;13000;intersyndicale;5800;10000;La Presse de la Manche;;;https://actu.fr/normandie/cherbourg-en-cotentin_50129/en-direct-1er-mai-suivez-la-mobilisation-a-cherbourg_59337842.html
Quimperlé;France;Quimperlé France;;;;2800;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php
Roanne;France;Roanne France;8000;;3200;5000;Midi Libre;;;https://www.midilibre.fr/2023/05/01/ales-5-000-manifestants-ont-pris-part-a-la-manifestation-du-1er-mai-11168871.php#:~:text=La%20manifestation%20contre%20la%20r%C3%A9forme,%C3%A0%20la%20r%C3%A9forme%20des%20retraites.
Alès;France;Alès France;;;4000;;;;;https://www.midilibre.fr/2023/05/01/en-direct-dans-le-defile-du-1er-mai-a-nimes-11168381.php
Pontivy;France;Pontivy France;3000;intersyndicale;2100;;;;;
Dieppe;France;Dieppe France;2000;CGT;1600;;;;;https://actu.fr/normandie/dieppe_76217/1er-mai-a-dieppe-une-manifestation-historique-en-ville_59346518.html
Rochefort;France;Rochefort France;;;;2400;Sud Ouest;;;https://www.sudouest.fr/economie/social/greve/manifestation-du-1er-mai-a-rochefort-du-jamais-vu-pour-la-fete-du-travail-14991044.php
Saint-Quentin;France;Saint-Quentin France;2000;;1300;;;;;
Dole;France;Dole France;;;;2000;Le Progrès;;;https://www.leprogres.fr/social/2023/05/01/a-saint-claude-dole-et-lons-les-manifestants-mobilises-pour-un-1er-mai-qu-ils-esperent-historique
Montargis;France;Montargis France;;;2000;1300;La République du Centre;;;
Sens;France;Sens France;;;;1200;L'Yonne Républicaine;;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-les-manifestations-du-1er-mai-dans-l-yonne_14302251/
Châtellerault;France;Châtellerault France;;;;;;;;
Cambrai;France;Cambrai France;;;;1200;La Voix du Nord;;;https://www.lavoixdunord.fr/1322281/article/2023-05-01/direct-retraites-arras-bethune-calais-les-premieres-manifestations-partiront-9-h
Saint-Pierre, La Réunion;France;Saint-Pierre, La Réunion France;2250;intersyndicale;1100;;;;;
Bagnols-sur-Cèze;France;Bagnols-sur-Cèze France;;;2000;;;;;https://www.midilibre.fr/2023/05/01/en-direct-dans-le-defile-du-1er-mai-a-nimes-11168381.php
Colmar;France;Colmar, France;;;;;;;;
Romorantin;France;Romorantin France;;;;;;;;
Cannes;France;Cannes France;1000;intersyndicale;550;;;;;
Pithiviers;France;Pithiviers France;;;400;230;La République du Centre;;;
Verdun;France;Verdun France;;;;;;;;
Granville;France;Granville France;;;1600;;;;;https://www.ouest-france.fr/economie/retraites/direct-1er-mai-a-cherbourg-et-saint-lo-des-rassemblements-festifs-prevus-ce-matin-eb627fdc-e5c1-11ed-9310-58b428937a6b
Ussel;France;Ussel France;;;;;;;;
Valenciennes;France;Valenciennes France;;;;4000;La Voix du Nord;;;https://www.lavoixdunord.fr/1322310/article/2023-05-01/valenciennes-une-place-d-armes-noire-de-monde-pour-la-manif-du-1er-mai
Calais;France;Calais France;3500;intersyndicale;;;;;;
Douai;France;Douai France;;;;1000;La Voix du Nord;;;https://www.lavoixdunord.fr/1322281/article/2023-05-01/direct-retraites-arras-bethune-calais-les-premieres-manifestations-partiront-9-h
Bourg-en-Bresse;France;Bourg-en-Bresse France;;;;3000;Le Progrès;;;https://www.leprogres.fr/social/2023/05/01/1er-mai-six-manifestations-des-10-heures-ce-lundi-dans-le-departement
Ancenis;France;Ancenis France;;;3550;3500;Ouest France;;;"Le Télégramme			https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php"
Figeac;France;Figeac France;3000;;2200;;;;;
Compiègne;France;Compiègne France;;;;;;;;
Digne-les-Bains;France;Digne-les-Bains France;;;;1000;La Provence;;;https://www.laprovence.com/article/region/4654053658058615/direct-laprovence-direct-1er-mai-jusqua-1-5-million-de-manifestants-attendus-par-les-syndicats-les-corteges-provencaux-sur-le-point-de-selancer
Cahors;France;Cahors France;1800;intersyndicale;1800;;;;;
Saint-Malo;France;Saint-Malo France;;;;;;;;
Vesoul;France;Vesoul France;;;;;;;;
Lisieux;France;Lisieux France;1400;intersyndicale;1300;;;;;
Bergerac;France;Bergerac France;2000;intersyndicale;1500;1500;Sud Ouest;;;
Chateaubriant;France;Chateaubriant France;;;2000;1500;Ouest France;;;https://www.ouest-france.fr/economie/retraites/direct-suivez-la-manifestation-du-1er-mai-en-loire-atlantique-488ef362-e5d5-11ed-a421-d61b66109416
Laon;France;Laon France;;;;;;;;
Fougères;France;Fougères France;2000;;1200;;Le Télégramme;;;https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php
Thouars;France;Thouars France;;;;;;;;
Gien;France;Gien France;600;intersyndicale;730;;;;;
Mamoudzou;France;Mamoudzou France;;;;;;;;
Nevers;France;Nevers France;;;;;;;;
Auxerre;France;Auxerre France;4000;intersyndicale;2800;3000;L'Yonne Républicaine;;;https://www.lyonne.fr/auxerre-89000/actualites/suivez-en-direct-les-manifestations-du-1er-mai-dans-l-yonne_14302251/
Saint-Denis, La Réunion;France;Saint-Denis, La Réunion France;3000;intersyndicale;1100;;;;;
Saumur;France;Saumur France;3000;intersyndicale;1600;2000;Le Courrier de l'Ouest;;;https://www.ouest-france.fr/economie/retraites/direct-1er-mai-les-manifestations-a-angers-cholet-saumur-et-segre-804c0096-e671-11ed-9c4f-b04b1dc0276d
Saint-Dizier;France;Saint-Dizier France;;;;;;;;
Chaumont;France;Chaumont France;;;;;;;;
Langres;France;Langres France;;;;;;;;
Eu;France;Eu France;;;;;;;;
Marmande;France;Marmande France;;;;;;;;
Sarlat;France;Sarlat France;1300;;1100;1200;Sud-Ouest;;;https://www.sudouest.fr/economie/social/greve/direct-manifestations-du-1er-mai-les-premiers-corteges-vont-s-elancer-suivez-les-temps-forts-de-la-journee-14986988.php
Vitré;France;Vitré France;;;;500;Ouest France;;;
Aix-en-Provence;France;Aix-en-Provence France;7000;;850;;;;;https://www.laprovence.com/article/region/4654053658058615/direct-laprovence-direct-1er-mai-jusqua-1-5-million-de-manifestants-attendus-par-les-syndicats-les-corteges-provencaux-sur-le-point-de-selancer
Basse-Terre, Guadeloupe;France;Basse-Terre, Guadeloupe France;;;;;;;;
Fort-de-France, Martinique;France;Fort-de-France, Martinique France;;;;;;;;
Cayenne, Guyane;France;Cayenne, Guyane France;;;;400;La 1ère;;;https://la1ere.francetvinfo.fr/guyane/1er-mai-un-defile-unitaire-des-syndicats-qui-rassemble-environ-400-manifestants-1391210.html
Chartres;France;Chartres France;;;;;;;;
Ajaccio;France;Ajaccio France;600;;470;;;;;https://www.corsematin.com/articles/videos-manifestation-du-1er-mai-mobilisation-a-ajaccio-et-bastia-141243
Bastia;France;Bastia France;;;;1000;Corse Matin;;;
Soissons;France;Soissons France;1000;intersyndicale;;;;;;
Chateau-Thierry;France;Chateau-Thierry France;;;;;;;;
Maubeuge;France;Maubeuge France;;;;1000;La Voix du Nord;;;https://www.lavoixdunord.fr/1322281/article/2023-05-01/direct-retraites-arras-bethune-calais-les-premieres-manifestations-partiront-9-h
Thouars;France;Thouars France;;;;;;;;
Saint-Omer;France;Saint-Omer France;;;;1500;La Voix du Nord;;;https://www.lavoixdunord.fr/1322281/article/2023-05-01/direct-retraites-arras-bethune-calais-les-premieres-manifestations-partiront-9-h
Bressuire;France;Bressuire France;;;;;;;;
Ploërmel;France;Ploërmel France;;;;2000;Ouest France;;;"Le Télégramme			https://www.letelegramme.fr/economie/retraites/1er-mai-le-point-sur-la-mobilisation-en-bretagne-01-05-2023-13328509.php"
Dax;France;Dax France;5000;intersyndicale;3600;;;;;https://www.sudouest.fr/economie/social/greve/direct-manifestations-du-1er-mai-les-premiers-corteges-vont-s-elancer-suivez-les-temps-forts-de-la-journee-14986988.php
Pont-Audemer;France;Pont-Audemer France;;;;;;;;
Mayenne;France;Mayenne France;;;;;;;;
Le Creusot;France;Le Creusot France;900;intersyndicale;800;;;;;https://www.lejsl.com/social/2023/05/01/saone-et-loire-la-manifestation-du-1er-mai-se-met-en-place-a-chalon#dea5bd77-9311-4736-a56a-ff5a34dd9cfd
Montceau-les-Mines;France;Montceau-les-Mines France;;;;;;;;
Thonon-les-Bains;France;Thonon-les-Bains France;1600;intersyndicale;900;;;;;https://www.ledauphine.com/social/2023/05/01/manifs-du-1er-mai-plus-d-une-dizaine-de-defiles-prevus-en-pays-de-savoie#87fcda55-9cbb-4081-b324-d562de3abb49
Montbard;France;Montbard France;1500;CGT;;;;;;
La Tour du Pin;France;La Tour du Pin France;;;;;;;;
Cluny;France;Cluny France;;;;;;;;
Clermont l'Hérault;France;Clermont l'Hérault France;;;;;;;;
Paimpol;France;Paimpol France;;;;1000;Ouest-France;;;
Les Sables-d'Olonne;France;Les Sables-d'Olonne France;1100;intersyndicale;1100;;;;;
Challans;France;Challans France;1300;intersyndicale;;;;;;
Millau;France;Millau France;2500;intersyndicale;;;;;;
Villefranche-de-Rouergue;France;Villefranche-de-Rouergue France;1500;intersyndicale;;;;;;
Decazeville;France;Decazeville France;1550;intersyndicale;;;;;;
Redon;France;Redon France;4000;intersyndicale;2500;;;;;
Flers;France;Flers France;3000;;1050;;;;;
